,Date,Date_x,Demand,Price,Time,Hour,Minute,Month,Quarter,Day,Location,Date_y,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Direction of maximum wind gust ,Speed of maximum wind gust (km/h),Time of maximum wind gust,9am Temperature (°C),9am relative humidity (%),9am wind direction,9am wind speed (km/h),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind direction,3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
0,2022-11-01,2022-11-01 19:30:00,5627.52,0.0,2022-11-01 19:30:00,19,30,11,4,1,"Melbourne (Olympic Park), Victoria",2022-11-01,8.5,13.3,3.0,SW,44.0,11:36,12.0,64,NW,13,991.3,13.2,59.0,WNW,11.0,991.5,13.0
1,2022-11-02,2022-11-02 19:30:00,6018.43,55.94,2022-11-02 19:30:00,19,30,11,4,2,"Melbourne (Olympic Park), Victoria",2022-11-02,6.9,15.7,2.8,SSW,43.0,11:33,11.0,65,W,9,1006.7,15.1,54.0,SSW,13.0,1008.4,9.0
2,2022-11-03,2022-11-03 19:30:00,6004.84,299.5,2022-11-03 19:30:00,19,30,11,4,3,"Melbourne (Olympic Park), Victoria",2022-11-03,9.1,15.4,0.4,SSW,31.0,8:07,11.5,70,SSW,9,1019.2,13.8,67.0,SSW,9.0,1021.3,9.0
3,2022-11-04,2022-11-04 07:00:00,5757.62,60.37,2022-11-04 07:00:00,7,0,11,4,4,"Melbourne (Olympic Park), Victoria",2022-11-04,10.2,17.8,0.2,S,24.0,14:50,12.3,84,WSW,6,1028.1,16.9,56.0,SW,9.0,1026.6,6.0
4,2022-11-05,2022-11-05 19:30:00,4783.6,177.21,2022-11-05 19:30:00,19,30,11,4,5,"Melbourne (Olympic Park), Victoria",2022-11-05,11.8,22.7,0.0,N,31.0,11:58,14.0,78,N,9,1026.3,18.8,65.0,SW,11.0,1023.2,9.0
5,2022-11-06,2022-11-06 18:00:00,4872.89,226.49,2022-11-06 18:00:00,18,0,11,4,6,"Melbourne (Olympic Park), Victoria",2022-11-06,11.6,27.1,0.0,NNW,33.0,18:43,17.9,63,NNE,9,1023.2,26.2,33.0,NW,4.0,1019.9,9.0
6,2022-11-07,2022-11-07 18:00:00,5452.26,237.33,2022-11-07 18:00:00,18,0,11,4,7,"Melbourne (Olympic Park), Victoria",2022-11-07,13.9,25.9,0.0,W,24.0,13:42,19.7,64,NE,4,1021.1,20.2,66.0,WSW,9.0,1019.1,4.0
7,2022-11-08,2022-11-08 17:30:00,5530.57,155.48,2022-11-08 17:30:00,17,30,11,4,8,"Melbourne (Olympic Park), Victoria",2022-11-08,14.6,27.6,0.0,NNW,35.0,11:24,21.8,57,N,15,1018.2,25.8,43.0,SW,6.0,1015.9,15.0
8,2022-11-09,2022-11-09 18:00:00,5952.87,146.45,2022-11-09 18:00:00,18,0,11,4,9,"Melbourne (Olympic Park), Victoria",2022-11-09,15.6,29.3,2.8,NNE,35.0,12:24,20.8,67,N,13,1018.8,28.3,37.0,NNW,13.0,1015.4,13.0
9,2022-11-10,2022-11-10 15:30:00,5538.61,19.13,2022-11-10 15:30:00,15,30,11,4,10,"Melbourne (Olympic Park), Victoria",2022-11-10,19.8,26.4,0.0,NNW,54.0,9:58,23.8,50,N,17,1013.8,25.1,44.0,NNW,20.0,1011.7,17.0
