Date,Total Demand,RRP,Hour,Minute,Month,Quarter,Day,Minimum temperature (°C),Maximum temperature (°C),Rainfall (mm),Speed of maximum wind gust (km/h),9am Temperature (°C),9am relative humidity (%),9am MSL pressure (hPa),3pm Temperature (°C),3pm relative humidity (%),3pm wind speed (km/h),3pm MSL pressure (hPa),9am wind speed (km/h) - 2
2022-11-01,5627.52,0.0,19,30,11,4,1,8.5,13.3,3.0,44.0,12.0,64.0,991.3,13.2,59.0,11.0,991.5,13.0
2022-11-02,6018.43,55.94,19,30,11,4,2,6.9,15.7,2.8,43.0,11.0,65.0,1006.7,15.1,54.0,13.0,1008.4,9.0
2022-11-03,6004.84,299.5,19,30,11,4,3,9.1,15.4,0.4,31.0,11.5,70.0,1019.2,13.8,67.0,9.0,1021.3,9.0
2022-11-04,5757.62,60.37,7,0,11,4,4,10.2,17.8,0.2,24.0,12.3,84.0,1028.1,16.9,56.0,9.0,1026.6,6.0
2022-11-05,4783.6,177.21,19,30,11,4,5,11.8,22.7,0.0,31.0,14.0,78.0,1026.3,18.8,65.0,11.0,1023.2,9.0
2022-11-06,4872.89,226.49,18,0,11,4,6,11.6,27.1,0.0,33.0,17.9,63.0,1023.2,26.2,33.0,4.0,1019.9,9.0
2022-11-07,5452.26,237.33,18,0,11,4,7,13.9,25.9,0.0,24.0,19.7,64.0,1021.1,20.2,66.0,9.0,1019.1,4.0
2022-11-08,5530.57,155.48,17,30,11,4,8,14.6,27.6,0.0,35.0,21.8,57.0,1018.2,25.8,43.0,6.0,1015.9,15.0
2022-11-09,5952.87,146.45,18,0,11,4,9,15.6,29.3,2.8,35.0,20.8,67.0,1018.8,28.3,37.0,13.0,1015.4,13.0
2022-11-10,5538.61,19.13,15,30,11,4,10,19.8,26.4,0.0,54.0,23.8,50.0,1013.8,25.1,44.0,20.0,1011.7,17.0
2022-11-11,5212.56,161.05,6,30,11,4,11,18.7,20.2,3.0,30.0,18.7,80.0,1011.0,18.2,81.0,15.0,1010.4,11.0
2022-11-12,4734.28,19.19,19,30,11,4,12,14.2,19.3,0.0,26.0,15.7,69.0,1014.3,17.6,66.0,13.0,1010.9,7.0
2022-11-13,4743.59,116.44,19,30,11,4,13,15.4,24.8,6.6,44.0,19.1,88.0,1001.8,24.3,59.0,19.0,998.6,9.0
2022-11-14,5202.93,108.75,19,30,11,4,14,13.0,17.4,13.6,41.0,15.3,78.0,997.1,15.0,87.0,13.0,1003.6,13.0
2022-11-15,5944.12,299.5,19,30,11,4,15,8.0,13.1,14.2,43.0,10.1,72.0,1013.1,10.8,72.0,17.0,1013.1,7.0
2022-11-16,5880.24,209.78,6,30,11,4,16,7.2,14.8,0.6,43.0,11.0,64.0,1015.1,13.9,51.0,15.0,1015.9,11.0
2022-11-17,5848.77,149.5,6,30,11,4,17,9.6,16.3,3.2,33.0,13.1,71.0,1019.3,15.5,63.0,13.0,1018.7,13.0
2022-11-18,5539.47,57.03,6,30,11,4,18,7.2,24.5,0.0,28.0,12.5,70.0,1016.6,22.0,47.0,11.0,1010.9,7.0
2022-11-19,4716.13,112.08,20,0,11,4,19,12.5,22.3,0.0,59.0,19.3,52.0,1003.1,18.3,65.0,19.0,997.6,9.0
2022-11-20,4847.67,-38.0,20,0,11,4,20,11.8,20.6,16.0,50.0,14.3,63.0,998.2,19.4,36.0,15.0,997.1,15.0
2022-11-21,5914.29,119.5,19,30,11,4,21,9.4,13.8,1.2,57.0,11.2,51.0,1001.8,11.8,64.0,17.0,1005.1,24.0
2022-11-22,5695.31,0.0,7,0,11,4,22,8.7,18.2,2.0,37.0,12.7,68.0,1012.9,18.0,58.0,9.0,1012.3,13.0
2022-11-23,5515.67,221.55,20,0,11,4,23,11.6,17.7,0.6,30.0,14.7,65.0,1015.6,16.1,77.0,6.0,1016.9,11.0
2022-11-24,5259.33,250.11,20,0,11,4,24,12.4,19.2,2.8,22.0,14.3,73.0,1021.0,17.0,63.0,7.0,1020.4,7.0
2022-11-25,5187.15,121.56,6,30,11,4,25,11.6,20.6,0.0,22.0,14.3,75.0,1021.7,19.2,51.0,6.0,1020.0,9.0
2022-11-26,4597.02,9.2,17,0,11,4,26,10.9,27.3,0.0,54.0,16.8,66.0,1011.9,27.0,33.0,20.0,1004.6,11.0
2022-11-27,4787.93,163.12,19,30,11,4,27,14.7,20.5,0.2,37.0,16.0,71.0,1004.5,19.5,51.0,9.0,1003.7,9.0
2022-11-28,5137.53,157.0,18,0,11,4,28,9.7,18.8,0.2,31.0,14.0,61.0,1009.1,18.1,46.0,7.0,1008.0,11.0
2022-11-29,5148.92,170.5,20,0,11,4,29,12.2,18.4,0.4,33.0,15.5,65.0,1015.6,17.7,52.0,13.0,1016.9,11.0
2022-11-30,5159.0,149.5,19,30,11,4,30,11.6,18.4,0.0,31.0,16.0,58.0,1019.8,17.9,52.0,9.0,1017.7,9.0
2022-12-01,5199.78,119.5,20,0,12,4,1,12.1,18.8,0.0,35.0,17.0,73.0,1018.8,18.1,63.0,17.0,1017.7,11.0
2022-12-02,5312.13,243.17,19,0,12,4,2,9.4,21.4,0.0,26.0,15.0,74.0,1018.3,20.4,62.0,13.0,1015.4,6.0
2022-12-03,5847.74,258.06,18,30,12,4,3,13.6,31.0,0.0,31.0,21.3,68.0,1015.7,28.8,42.0,13.0,1013.0,7.0
2022-12-04,6847.78,203.93,17,30,12,4,4,17.3,34.5,0.0,44.0,27.2,43.0,1011.7,32.5,28.0,19.0,1007.8,9.0
2022-12-05,5216.04,170.5,19,30,12,4,5,16.2,18.1,0.0,52.0,16.6,77.0,1009.6,16.3,70.0,17.0,1011.7,13.0
2022-12-06,5307.49,202.48,19,0,12,4,6,13.4,20.0,1.2,31.0,15.5,71.0,1012.1,19.2,56.0,13.0,1008.9,17.0
2022-12-07,5044.86,21.76,20,0,12,4,7,13.1,19.3,0.2,41.0,16.4,68.0,1004.5,18.4,62.0,15.0,1004.4,7.0
2022-12-08,5429.38,115.0,20,0,12,4,8,9.4,16.0,0.6,48.0,10.8,72.0,1013.8,15.5,48.0,20.0,1015.2,13.0
2022-12-09,5364.08,37.95,6,30,12,4,9,9.9,17.6,2.4,41.0,14.6,44.0,1018.1,16.4,51.0,17.0,1017.3,15.0
2022-12-10,4942.33,118.12,19,30,12,4,10,8.1,25.9,0.0,31.0,14.2,63.0,1017.1,24.8,32.0,11.0,1012.0,7.0
2022-12-11,5200.92,133.57,17,0,12,4,11,14.0,28.6,0.0,54.0,20.7,53.0,1005.4,25.7,35.0,20.0,1002.0,13.0
2022-12-12,5265.03,18.0,19,30,12,4,12,11.5,17.3,17.4,44.0,12.6,84.0,1001.0,16.0,59.0,22.0,1002.1,9.0
2022-12-13,5394.47,29.73,20,0,12,4,13,11.6,17.9,3.2,44.0,14.2,56.0,1008.7,12.2,86.0,13.0,1008.0,15.0
2022-12-14,5477.48,82.53,19,30,12,4,14,9.0,15.8,6.2,50.0,13.7,64.0,1013.2,12.4,77.0,19.0,1015.5,19.0
2022-12-15,5334.73,27.44,20,30,12,4,15,11.1,16.6,3.4,39.0,14.8,58.0,1017.0,15.7,57.0,15.0,1016.5,11.0
2022-12-16,5307.55,20.37,6,30,12,4,16,10.8,20.3,0.0,35.0,15.7,58.0,1019.4,19.2,47.0,13.0,1019.0,11.0
2022-12-17,4433.75,19.19,19,30,12,4,17,10.9,22.3,0.2,41.0,16.5,61.0,1023.0,21.4,44.0,19.0,1021.4,15.0
2022-12-18,4510.35,17.49,19,0,12,4,18,11.7,23.7,0.0,37.0,16.5,54.0,1024.9,22.6,41.0,17.0,1021.6,15.0
2022-12-19,5151.44,104.85,19,0,12,4,19,9.8,26.0,0.0,33.0,16.6,67.0,1025.5,22.4,39.0,17.0,1022.3,4.0
2022-12-20,5392.19,33.86,18,0,12,4,20,10.2,27.3,0.0,31.0,16.4,64.0,1022.0,26.3,32.0,15.0,1017.6,7.0
2022-12-21,5628.39,117.95,17,0,12,4,21,12.9,29.4,0.0,30.0,18.2,64.0,1015.3,28.2,27.0,11.0,1011.6,7.0
2022-12-22,5504.4,85.25,17,30,12,4,22,16.8,25.2,5.2,26.0,17.4,91.0,1011.6,21.5,82.0,4.0,1008.5,6.0
2022-12-23,5188.07,100.98,18,0,12,4,23,15.7,23.1,1.6,28.0,18.2,97.0,1011.7,20.2,76.0,13.0,1009.7,4.0
2022-12-24,4792.81,194.52,19,0,12,4,24,16.7,23.5,0.0,31.0,18.9,66.0,1011.7,21.6,53.0,13.0,1010.8,9.0
2022-12-25,5460.58,120.0,19,0,12,4,25,12.9,31.9,0.0,24.0,19.5,66.0,1013.1,30.3,31.0,11.0,1012.3,7.0
2022-12-26,6164.92,120.0,18,0,12,4,26,17.0,27.5,0.0,28.0,22.6,58.0,1016.6,23.6,67.0,13.0,1016.6,11.0
